Id,Category,SubCategory,Product,Price,Store,Notes
4080,BEAUTY,,"Issey Miyake L'eau D'Issey Pour Homme, 1.4oz Eau de Toilette",$25.00,Macy's,
4081,BEAUTY,,"Issey Miyake L'eau D'Issey, .84oz Eau de Toilette",$25.00,Macy's,
4082,BEAUTY,,IT's Your Confidence Boosting Besties Set,$24.00,Macy's,
4083,BEAUTY,,Jessica Simpson Fancy Love 4pc,$25.00,Macy's,
4084,BEAUTY,,Jimmy Choo Man Eau de Toilette 3.3oz,$92.00,Macy's,
4085,BEAUTY,,Juicy Couture Gold 3pc Set,$25.00,Macy's,
4086,BEAUTY,,"Kate Spade New York in Full Bloom, 1.7oz Eau de Parfum",$25.00,Macy's,
4087,BEAUTY,,Kenneth Cole 4pc Coffret,$25.00,Macy's,
4088,BEAUTY,,"Kenneth Cole Black, 1oz Eau de Toilette",$25.00,Macy's,
4089,BEAUTY,,"Kenzo Flower by Kenzo, .5oz Eau de Parfum",$25.00,Macy's,
4090,BEAUTY,,"Lacoste Magnetic, 1oz Eau de Toilette",$25.00,Macy's,
4091,BEAUTY,,Lancome Beauty Box,$68.00,Macy's,
4092,BEAUTY,,Lancome Monsieur Big Mascara Set,$20.00,Macy's,
4093,BEAUTY,,"Mac Lipsticks, Select",$15.00,Macy's,
4094,BEAUTY,,Macy's Exclusive Clinique Happy Treats,$10.00,Macy's,
4095,BEAUTY,,Mario Badescu Rose and Glow,$20.00,Macy's,
4096,BEAUTY,,Men's Fragrance Coffrets,$15.00,Macy's,
4097,BEAUTY,,Michael Kors Rollerball Trio Set,$25.00,Macy's,
4098,BEAUTY,,Mini Suptuous Extreme Mascara & Black Primer,$10.00,Macy's,
4099,BEAUTY,,Missguided Babe Power 2pc Set,$25.00,Macy's,
4100,BEAUTY,,Murad Brilliant Vibes,$20.00,Macy's,
4101,BEAUTY,,Nanette Lepore Beautiful Times 3pc Fragrance Set,$25.00,Macy's,
4102,BEAUTY,,"Narciso Rodriguez For Her, 1oz Eau de Toilette",$25.00,Macy's,
4103,BEAUTY,,Origins Cleanup Crew Checks & Balances Set,$20.00,Macy's,
4104,BEAUTY,,Origins Tiny Treasures 5pc Skin Care Set,$20.00,Macy's,
4105,BEAUTY,,"Oscar De La Renta Oscar, 1oz Eau de Toilette",$25.00,Macy's,
4106,BEAUTY,,Paco Rabanna 1 Million Eau de Toilette 3.4oz,$90.00,Macy's,
4107,BEAUTY,,Paco Rabanne Invictus Eau de Toilette 3.4oz,$90.00,Macy's,
4108,BEAUTY,,"Perry Ellis Aqua, 1.7oz Eau de Toilette",$25.00,Macy's,
4109,BEAUTY,,Philosophy Assorted Shower Gels,$10.00,Macy's,
4110,BEAUTY,,Philosophy Handful of Hope Set,$20.00,Macy's,
4111,BEAUTY,,Philosophy Snow Angel Shower Gels,$10.00,Macy's,
4112,BEAUTY,,Philosophy Sparkling White Peach Shower Gel,$10.00,Macy's,
4113,BEAUTY,,Philosophy Sugar Plum Shower Gel,$10.00,Macy's,
4114,BEAUTY,,Philosophy Vanilla Chocolate Crumble Shower Gel,$10.00,Macy's,
4115,BEAUTY,,Philosophy Warm Apple Cider Shower Gel,$10.00,Macy's,
4116,BEAUTY,,Rihanna Reb'l Fleur 1.7oz Eau de Parfum,FREE,Macy's,
